Subject	SampleID	FileInput	Sequencing	SequencingTwoState	SelectionTavanasa	SelectionVals	TavanasaAndValsAll	TavanasaAndValsAPS	Larvae	APSVals	APSTavanasa	SelectionMilt	SelectionWater	SelectionSkins	SelectionBodyparts	SampleIDCAN	SeqConc	SeqPlateRow	SeqPlateColumn	NewIDs	SampleID2	Tissue	concentration	Treatment	TreatmentOriginal	ValsTissues	96well	Population	Extraction	FishID2	Tissue2	Original	Extraction	Number	Origin	Family
LW141-39	LW141	LW141-39_S118_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW141	NA	5	6	LW141Extraction39	T112	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction39	T112	sperm	Extraction39	HatcheryBT	NA		
LW142-40	LW142	LW142-40_S119_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW142	NA	6	6	LW142Extraction40	T113	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction40	T113	sperm	Extraction40	HatcheryBT	NA		
LW143-41	LW143	LW143-41_S120_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW143	NA	7	6	LW143Extraction41	T114	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction41	T114	sperm	Extraction41	HatcheryBT	NA		
LW144-42	LW144	LW144-42_S121_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW144	NA	8	6	LW144Extraction42	T115	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction42	T115	sperm	Extraction42	HatcheryBT	NA		
LW145-43	LW145	LW145-43_S122_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW145	NA	1	7	LW145Extraction43	T116	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction43	T116	sperm	Extraction43	HatcheryBT	NA		
LW146-44	LW146	LW146-44_S123_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW146	NA	2	7	LW146Extraction44	T117	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction44	T117	sperm	Extraction44	HatcheryBT	NA		
LW147-45	LW147	LW147-45_S124_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW147	NA	3	7	LW147Extraction45	T118	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction45	T118	sperm	Extraction45	HatcheryBT	NA		
LW148-46	LW148	LW148-46_S125_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW148	NA	4	7	LW148Extraction46	T119	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction46	T119	sperm	Extraction46	HatcheryBT	NA		
LW149-47	LW149	LW149-47_S126_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW149	NA	5	7	LW149Extraction47	T120	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction47	T120	sperm	Extraction47	HatcheryBT	NA		
LW150-48	LW150	LW150-48_S128_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW150	NA	6	7	LW150Extraction48	T121	sperm	low	Milt	Milt	NA	2	HatcheryFish	Extraction48	T121	sperm	Extraction48	HatcheryBT	NA		
LW152-169	LW152	LW152-169_S129_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW152	NA	8	7	LW152Extraction169	T114	spermRepeat	low	Milt	Milt	NA	2	HatcheryFish	Extraction169	T47	sperm	Extraction169	HatcheryBT	F43		
LW153-170	LW153	LW153-170_S130_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW153	NA	1	8	LW153Extraction170	T121	spermRepeat	low	Milt	Milt	NA	2	HatcheryFish	Extraction170	T43	sperm	Extraction170	HatcheryBT	F50		
LW154-Extraction176	LW154	LW154-Extraction176_S116_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW154	MB20	2	8	LW154Extraction176	T114	skin	veryLow	Skin	Skin	NA	2	HatcheryFish	Extraction176	T114	skin	Extraction176	HatcheryBT	F43		
LW155-Extraction178	LW155	LW155-Extraction178_S128_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW155	MB20	3	8	LW155Extraction178	T121	skin	veryLow	Skin	Skin	NA	2	HatcheryFish	Extraction178	T121	skin	Extraction178	HatcheryBT	F50		
LW156-Extraction180	LW156	LW156-Extraction180_S140_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW156	MB20	4	8	LW156Extraction180	T112	skin	veryLow	Skin	Skin	NA	2	HatcheryFish	Extraction180	T112	skin	Extraction180	HatcheryBT	F41		
LW157-Extraction175	LW157	LW157-Extraction175_S152_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW157	MB20	5	8	LW157Extraction175	T114	skinRepeat	veryLow	Skin	Skin	NA	2	HatcheryFish	Extraction175	T47	skin	Extraction175	HatcheryBT	F43		
LW158-Extraction177	LW158	LW158-Extraction177_S164_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW158	MB20	6	8	LW158Extraction177	T121	skinRepeat	veryLow	Skin	Skin	NA	2	HatcheryFish	Extraction177	T43	skin	Extraction177	HatcheryBT	F50		
LW159-Extraction179	LW159	LW159-Extraction179_S176_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	skin	skin	LW159	MB20	7	8	LW159Extraction179	T112	skinRepeat	veryLow	Skin	Skin	NA	2	HatcheryFish	Extraction179	T102	skin	Extraction179	HatcheryBT	F41		
LW151-Extraction172	LW151	LW151-Extraction172_S175_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	water	no	no	LW151	2MB	7	7	LW151Extraction172	tankwater	Muttertiere	veryLow	tankWater	tankWater	NA	2	HatcheryFish	Extraction172	NA	tankWater	Extraction172	HatcheryBT	NA		
LW82-Extraction92	LW82	LW82-Extraction92_S23_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	no	no	LW82	1MB	2	11	LW82Extraction200	F52	APS	low	APSrainbow	APSrainbow	NA	1	Rainbow	Extraction200	T124	APS	Extraction200	rainbow	F52		
LW88-Extraction98	LW88	LW88-Extraction98_S95_L001.assembled_filtered.nonchimera.fasta	first_run	first_run	no	no	no	no	no	no	no	no	no	no	no	LW88	1MB	8	11	LW88Extraction201	F53	APS	low	APSrainbow	APSrainbow	NA	1	Rainbow	Extraction201	T125	APS	Extraction201	rainbow	F53		
LW38-214	LW38	LW38-214_S139_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	no	no	no	no	LW38	NA	6	5	LW38Extraction199	F51	APS	low	APSrainbow	APSrainbow	NA	1	Rainbow	Extraction199	T123	APS	Extraction199	rainbow	F51		
LW136-49	LW136	LW136-49_S112_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW136	NA	8	5	LW136Extraction49	T123	sperm	low	Milt	Milt	NA	2	Rainbow	Extraction49	T123	sperm	Extraction49	rainbow	F51		
LW137-50	LW137	LW137-50_S113_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW137	NA	1	6	LW137Extraction50	T124	sperm	low	Milt	Milt	NA	2	Rainbow	Extraction50	T124	sperm	Extraction50	rainbow	F52		
LW138-51	LW138	LW138-51_S114_L001.assembled_filtered.nonchimera.fasta	second_run	second_run	no	no	no	no	no	no	no	sperm	no	no	sperm	LW138	NA	2	6	LW138Extraction51	T125	sperm	low	Milt	Milt	NA	2	Rainbow	Extraction51	T125	sperm	Extraction51	rainbow	F53		
