ID	Assembled	Discarded	Unassembled
Min	0.616	0.003	0.640
Mean	80.685	0.671	20.429
Max	99.350	13.740	99.352
LW11-29_S98_L001	99.105	0.008	0.888
LW116-134_S99_L001	86.720	0.003	13.277
LW117-135_S100_L001	68.059	0.056	31.885
LW119-137_S101_L001	72.867	0.044	27.089
LW12-30_S102_L001	98.901	0.022	1.077
LW121-140_S103_L001	52.091	0.069	47.840
LW124-143_S104_L001	43.288	0.045	56.667
LW127-152_S105_L001	88.337	0.014	11.649
LW129-154_S106_L001	97.760	0.107	2.134
LW13-31_S107_L001	99.255	0.008	0.738
LW130-145_S108_L001	0.877	0.142	98.981
LW131-146_S109_L001	0.638	0.010	99.352
LW134-148_S110_L001	83.407	13.740	2.853
LW135-150_S111_L001	19.285	9.650	71.065
LW136-49_S112_L001	97.907	0.032	2.061
LW137-50_S113_L001	98.908	0.022	1.070
LW138-51_S114_L001	98.690	0.031	1.278
LW139-52_S115_L001	99.080	0.102	0.818
LW14-32_S116_L001	99.350	0.003	0.647
LW140-85_S117_L001	97.738	0.059	2.203
LW141-39_S118_L001	99.078	0.006	0.916
LW142-40_S119_L001	99.131	0.023	0.846
LW143-41_S120_L001	99.249	0.009	0.742
LW144-42_S121_L001	99.133	0.009	0.858
LW145-43_S122_L001	98.964	0.012	1.024
LW146-44_S123_L001	98.867	0.017	1.117
LW147-45_S124_L001	99.123	0.072	0.805
LW148-46_S125_L001	99.061	0.003	0.936
LW149-47_S126_L001	98.834	0.062	1.103
LW15-33_S127_L001	98.742	0.005	1.253
LW150-48_S128_L001	98.412	0.096	1.492
LW152-169_S129_L001	98.791	0.071	1.138
LW153-170_S130_L001	98.645	0.090	1.265
LW16-34_S131_L001	98.697	0.007	1.296
LW163-138_S132_L001	35.293	0.172	64.535
LW164-144_S133_L001	38.048	0.071	61.881
LW17-35_S134_L001	99.084	0.116	0.800
LW18-36_S135_L001	98.754	0.009	1.237
LW19-37_S136_L001	52.490	0.010	47.501
LW20-38_S137_L001	59.932	0.026	40.042
LW27-69_S138_L001	68.963	0.033	31.004
LW38-214_S139_L001	92.969	0.019	7.012
LW39-59_S140_L001	96.035	0.006	3.959
LW45-68_S141_L001	95.526	0.009	4.465
LW46-76_S142_L001	99.182	0.178	0.640
LW49-83_S143_L001	98.260	0.034	1.706
LW52-77_S144_L001	39.454	0.084	60.462
LW53-78_S145_L001	47.840	0.056	52.104
LW54-81_S146_L001	26.616	0.101	73.284
LW55-82_S147_L001	72.239	0.038	27.723
LW86-96_S148_L001	0.616	0.988	98.396
LW87-97_S149_L001	0.655	1.307	98.038
LW89-27_S150_L001	98.859	0.094	1.047
LW90-28_S151_L001	96.439	0.014	3.547
LW91-21_S152_L001	99.160	0.005	0.835
LW92-9_S153_L001	99.161	0.009	0.830
LW93-10_S154_L001	99.294	0.011	0.695
LW94-11_S155_L001	99.016	0.010	0.973
LW95-12_S156_L001	99.033	0.005	0.961
LW97-13_S157_L001	88.927	0.006	11.067
LW98-14_S158_L001	96.038	0.458	3.504
LW99-15_S159_L001	98.902	0.007	1.091
