ID	Assembled	Discarded	Unassembled
Min	9.405	0.011	0.396
Mean	91.816	6.919	1.927
Max	99.531	80.386	10.209
LW1-Extraction117_S1_L001	98.904	0.297	0.799
LW10-Extraction126_S14_L001	99.136	0.283	0.580
LW100-Extraction101_S133_L001	99.434	0.014	0.551
LW101-Extraction102_S145_L001	99.312	0.150	0.538
LW102-Extraction105_S157_L001	98.876	0.258	0.866
LW103-Extraction106_S169_L001	99.100	0.391	0.509
LW104-Extraction108_S181_L001	97.979	0.839	1.182
LW105-Extraction116_S98_L001	98.423	0.869	0.708
LW106-Extraction103_S110_L001	96.032	2.848	1.120
LW107-Extraction104_S122_L001	99.286	0.211	0.503
LW108-Extraction107_S134_L001	99.258	0.226	0.517
LW109-Extraction109_S146_L001	99.504	0.100	0.396
LW110-Extraction127_S158_L001	99.401	0.031	0.568
LW111-Extraction128_S170_L001	99.135	0.129	0.736
LW112-Extraction129_S182_L001	99.060	0.228	0.712
LW113-Extraction130_S99_L001	98.309	0.964	0.726
LW114-Extraction131_S111_L001	98.356	0.651	0.993
LW115-Extraction112_S123_L001	84.953	12.833	2.214
LW118-Extraction136_S159_L001	86.599	10.788	2.614
LW119-Extraction137_S171_L001	70.494	25.804	3.702
LW120-Extraction139_S183_L001	98.425	0.234	1.341
LW122-Extraction141_S112_L001	93.482	3.982	2.536
LW123-Extraction142_S124_L001	89.588	8.863	1.548
LW125-Extraction133_S148_L001	97.686	1.213	1.100
LW126-Extraction151_S160_L001	79.763	16.986	3.251
LW127-Extraction152_S172_L001	71.541	25.126	3.333
LW128-Extraction153_S184_L001	77.256	18.358	4.386
LW129-Extraction154_S101_L001	94.320	2.407	3.272
LW132-Extraction149_S137_L001	93.276	5.481	1.243
LW133-Extraction147_S149_L001	41.313	52.145	6.542
LW151-Extraction172_S175_L001	94.754	3.949	1.297
LW154-Extraction176_S116_L001	98.118	0.750	1.132
LW155-Extraction178_S128_L001	99.173	0.182	0.644
LW156-Extraction180_S140_L001	98.841	0.341	0.818
LW157-Extraction175_S152_L001	97.755	1.364	0.881
LW158-Extraction177_S164_L001	99.164	0.158	0.678
LW159-Extraction179_S176_L001	99.287	0.151	0.562
LW160-Extraction132_S188_L001	94.776	4.041	1.183
LW161-Extraction110_S105_L001	97.980	1.139	0.881
LW162-Extraction111_S117_L001	97.175	1.899	0.927
LW163-Extraction138_S129_L001	92.229	4.851	2.920
LW165-Extraction155_S153_L001	69.255	26.837	3.908
LW166-Extraction1_S165_L001	96.689	1.773	1.539
LW167-Extraction2_S177_L001	97.168	1.464	1.367
LW168-Extraction3_S189_L001	80.269	16.635	3.095
LW169-Extraction4_S106_L001	88.031	8.973	2.996
LW170-Extraction19_S118_L001	98.902	0.198	0.900
LW171-Extraction6_S130_L001	98.161	0.868	0.970
LW172-Extraction181_S142_L001	98.504	0.478	1.018
LW173-Extraction182_S154_L001	98.182	0.849	0.969
LW174-Extraction183_S166_L001	98.733	0.356	0.911
LW175-Extraction184_S178_L001	98.877	0.342	0.781
LW176-Extraction185_S190_L001	97.556	1.297	1.146
LW177-Extraction186_S107_L001	98.372	0.599	1.030
LW178-Extraction187_S119_L001	98.750	0.332	0.918
LW179-Extraction188_S131_L001	98.596	0.542	0.861
LW180-Extraction189_S143_L001	97.146	1.528	1.326
LW181-Extraction190_S155_L001	97.958	1.171	0.871
LW182-Extraction191_S167_L001	96.375	2.190	1.434
LW183-Extraction192_S179_L001	96.263	2.527	1.210
LW184-Extraction208_S191_L001	97.326	0.622	2.051
LW185-Extraction209_S108_L001	96.375	0.286	3.339
LW186-Extraction210_S120_L001	96.140	2.558	1.302
LW187-Extraction211_S132_L001	98.559	0.836	0.605
LW188-Extraction212_S144_L001	98.868	0.268	0.864
LW189-Extraction213_S156_L001	98.493	0.697	0.810
LW190-Extraction17_S168_L001	99.153	0.083	0.764
LW191-Extraction18_S180_L001	99.314	0.074	0.612
LW2-Extraction118_S13_L001	98.772	0.260	0.967
LW21-Extraction53_S51_L001	92.688	5.068	2.243
LW22-Extraction54_S63_L001	99.531	0.018	0.451
LW23-Extraction55_S75_L001	93.242	5.089	1.669
LW24-Extraction56_S87_L001	99.449	0.122	0.429
LW25-Extraction57_S4_L001	99.102	0.163	0.735
LW26-Extraction58_S16_L001	99.320	0.118	0.561
LW28-Extraction65_S40_L001	99.331	0.068	0.601
LW29-Extraction66_S52_L001	98.517	0.126	1.357
LW3-Extraction119_S25_L001	98.772	0.471	0.757
LW30-Extraction67_S64_L001	99.412	0.016	0.572
LW31-Extraction73_S76_L001	94.569	3.512	1.919
LW32-Extraction74_S88_L001	92.053	4.383	3.563
LW33-Extraction173_S5_L001	74.488	22.479	3.032
LW34-Extraction71_S17_L001	50.342	43.856	5.802
LW35-Extraction70_S29_L001	98.999	0.500	0.500
LW36-Extraction72_S41_L001	86.389	11.516	2.095
LW37-Extraction20_S53_L001	48.715	46.107	5.178
LW4-Extraction120_S37_L001	98.536	0.528	0.936
LW40-Extraction60_S89_L001	73.389	23.332	3.280
LW41-Extraction61_S6_L001	92.196	5.424	2.380
LW42-Extraction62_S18_L001	80.315	16.462	3.222
LW43-Extraction63_S30_L001	87.178	10.651	2.171
LW44-Extraction64_S42_L001	97.775	1.147	1.078
LW47-Extraction79_S78_L001	95.481	3.366	1.153
LW48-Extraction80_S90_L001	78.254	16.942	4.804
LW5-Extraction121_S49_L001	98.305	0.713	0.982
LW50-Extraction84_S19_L001	71.637	22.098	6.266
LW51-Extraction75_S31_L001	92.396	5.921	1.682
LW52-Extraction77_S43_L001	87.982	8.972	3.046
LW54-Extraction81_S67_L001	73.550	21.783	4.667
LW56-Extraction86_S91_L001	68.519	26.616	4.865
LW57-Extraction156_S8_L001	97.838	0.905	1.257
LW58-Extraction157_S20_L001	98.757	0.313	0.930
LW59-Extraction158_S32_L001	99.431	0.041	0.528
LW6-Extraction122_S61_L001	98.611	0.190	1.199
LW60-Extraction159_S44_L001	99.060	0.074	0.866
LW61-Extraction160_S56_L001	99.039	0.147	0.814
LW62-Extraction161_S68_L001	99.073	0.049	0.879
LW63-Extraction162_S80_L001	98.889	0.133	0.978
LW64-Extraction163_S92_L001	97.787	0.789	1.424
LW65-Extraction164_S9_L001	95.067	1.572	3.361
LW66-Extraction165_S21_L001	96.839	0.949	2.212
LW67-Extraction166_S33_L001	98.015	0.250	1.735
LW68-Extraction167_S45_L001	96.344	1.413	2.243
LW69-Extraction22_S57_L001	97.106	1.469	1.425
LW7-Extraction123_S73_L001	98.972	0.233	0.794
LW70-Extraction25_S69_L001	75.753	18.924	5.323
LW71-Extraction26_S81_L001	95.698	2.989	1.313
LW72-Extraction99_S93_L001	9.405	80.386	10.209
LW73-Extraction100_S10_L001	98.983	0.070	0.947
LW74-Extraction113_S22_L001	96.264	0.145	3.591
LW75-Extraction114_S34_L001	98.918	0.013	1.069
LW76-Extraction115_S46_L001	98.943	0.175	0.882
LW77-Extraction87_S58_L001	99.256	0.103	0.641
LW78-Extraction88_S70_L001	99.403	0.011	0.586
LW79-Extraction89_S82_L001	99.460	0.014	0.526
LW8-Extraction124_S85_L001	92.638	5.799	1.563
LW80-Extraction90_S94_L001	99.170	0.025	0.806
LW81-Extraction91_S11_L001	99.403	0.013	0.583
LW82-Extraction92_S23_L001	71.132	20.578	8.290
LW83-Extraction93_S35_L001	99.275	0.071	0.653
LW84-Extraction94_S47_L001	80.435	16.586	2.978
LW85-Extraction95_S59_L001	35.255	57.765	6.980
LW87-Extraction97_S83_L001	42.611	50.162	7.228
LW88-Extraction98_S95_L001	92.271	3.203	4.526
LW9-Extraction125_S2_L001	97.720	1.335	0.945
