file	initial	qFiltered	lFiltered	forwardFiltered	reverseFiltered	final	qFilteredPercent	lFilteredPercent	forwardFilteredPercent	reverseFilteredPercent	finalPercent
LW100-Extraction101_S133_L001.assembled.fastq	83855	4704	1	NA	NA	79150	5.6	0.0	NA	NA	94.4
LW101-Extraction102_S145_L001.assembled.fastq	90585	4635	10	NA	NA	85940	5.1	0.0	NA	NA	94.9
LW102-Extraction105_S157_L001.assembled.fastq	48993	3217	20	NA	NA	45756	6.6	0.0	NA	NA	93.4
LW103-Extraction106_S169_L001.assembled.fastq	63413	3347	25	NA	NA	60041	5.3	0.0	NA	NA	94.7
LW104-Extraction108_S181_L001.assembled.fastq	56539	3287	21	NA	NA	53231	5.8	0.0	NA	NA	94.1
LW105-Extraction116_S98_L001.assembled.fastq	70635	3656	20	NA	NA	66959	5.2	0.0	NA	NA	94.8
LW106-Extraction103_S110_L001.assembled.fastq	23667	1430	19	NA	NA	22218	6.0	0.1	NA	NA	93.9
LW107-Extraction104_S122_L001.assembled.fastq	90798	3942	2	NA	NA	86854	4.3	0.0	NA	NA	95.7
LW108-Extraction107_S134_L001.assembled.fastq	81278	3949	6	NA	NA	77323	4.9	0.0	NA	NA	95.1
LW109-Extraction109_S146_L001.assembled.fastq	152378	8522	47	NA	NA	143809	5.6	0.0	NA	NA	94.4
LW10-Extraction126_S14_L001.assembled.fastq	143834	10346	50	NA	NA	133438	7.2	0.0	NA	NA	92.8
LW110-Extraction127_S158_L001.assembled.fastq	101025	6055	31	NA	NA	94939	6.0	0.0	NA	NA	94.0
LW111-Extraction128_S170_L001.assembled.fastq	42986	2754	65	NA	NA	40167	6.4	0.2	NA	NA	93.4
LW112-Extraction129_S182_L001.assembled.fastq	86903	6014	5	NA	NA	80884	6.9	0.0	NA	NA	93.1
LW113-Extraction130_S99_L001.assembled.fastq	43848	2523	130	NA	NA	41195	5.8	0.3	NA	NA	93.9
LW114-Extraction131_S111_L001.assembled.fastq	14655	1141	102	NA	NA	13412	7.8	0.7	NA	NA	91.5
LW115-Extraction112_S123_L001.assembled.fastq	24130	2276	20	NA	NA	21834	9.4	0.1	NA	NA	90.5
LW118-Extraction136_S159_L001.assembled.fastq	9079	1064	22	NA	NA	7993	11.7	0.2	NA	NA	88.0
LW119-Extraction137_S171_L001.assembled.fastq	4494	512	103	NA	NA	3879	11.4	2.3	NA	NA	86.3
LW120-Extraction139_S183_L001.assembled.fastq	47617	5377	17	NA	NA	42223	11.3	0.0	NA	NA	88.7
LW122-Extraction141_S112_L001.assembled.fastq	6339	672	36	NA	NA	5631	10.6	0.6	NA	NA	88.8
LW123-Extraction142_S124_L001.assembled.fastq	22854	2262	22	NA	NA	20570	9.9	0.1	NA	NA	90.0
LW125-Extraction133_S148_L001.assembled.fastq	18998	1752	47	NA	NA	17199	9.2	0.2	NA	NA	90.5
LW126-Extraction151_S160_L001.assembled.fastq	9274	997	38	NA	NA	8239	10.8	0.4	NA	NA	88.8
LW127-Extraction152_S172_L001.assembled.fastq	5538	576	69	NA	NA	4893	10.4	1.2	NA	NA	88.4
LW128-Extraction153_S184_L001.assembled.fastq	18003	1975	16	NA	NA	16012	11.0	0.1	NA	NA	88.9
LW129-Extraction154_S101_L001.assembled.fastq	5995	686	15	NA	NA	5294	11.4	0.3	NA	NA	88.3
LW132-Extraction149_S137_L001.assembled.fastq	43140	2475	41	NA	NA	40624	5.7	0.1	NA	NA	94.2
LW133-Extraction147_S149_L001.assembled.fastq	5046	487	93	NA	NA	4466	9.7	1.8	NA	NA	88.5
LW151-Extraction172_S175_L001.assembled.fastq	23156	1585	52	NA	NA	21519	6.8	0.2	NA	NA	92.9
LW154-Extraction176_S116_L001.assembled.fastq	113330	8710	137	NA	NA	104483	7.7	0.1	NA	NA	92.2
LW155-Extraction178_S128_L001.assembled.fastq	203124	11685	47	NA	NA	191392	5.8	0.0	NA	NA	94.2
LW156-Extraction180_S140_L001.assembled.fastq	171128	11888	64	NA	NA	159176	6.9	0.0	NA	NA	93.0
LW157-Extraction175_S152_L001.assembled.fastq	133338	8842	112	NA	NA	124384	6.6	0.1	NA	NA	93.3
LW158-Extraction177_S164_L001.assembled.fastq	261364	16602	16	NA	NA	244746	6.4	0.0	NA	NA	93.6
LW159-Extraction179_S176_L001.assembled.fastq	223141	13136	16	NA	NA	209989	5.9	0.0	NA	NA	94.1
LW160-Extraction132_S188_L001.assembled.fastq	85542	5228	39	NA	NA	80275	6.1	0.0	NA	NA	93.8
LW161-Extraction110_S105_L001.assembled.fastq	43016	2698	66	NA	NA	40252	6.3	0.2	NA	NA	93.6
LW162-Extraction111_S117_L001.assembled.fastq	53688	3299	53	NA	NA	50336	6.1	0.1	NA	NA	93.8
LW163-Extraction138_S129_L001.assembled.fastq	5685	504	80	NA	NA	5101	8.9	1.4	NA	NA	89.7
LW165-Extraction155_S153_L001.assembled.fastq	9801	1102	17	NA	NA	8682	11.2	0.2	NA	NA	88.6
LW166-Extraction1_S165_L001.assembled.fastq	64095	7106	219	NA	NA	56770	11.1	0.3	NA	NA	88.6
LW167-Extraction2_S177_L001.assembled.fastq	44989	4190	159	NA	NA	40640	9.3	0.4	NA	NA	90.3
LW168-Extraction3_S189_L001.assembled.fastq	27774	3104	41	NA	NA	24629	11.2	0.1	NA	NA	88.7
LW169-Extraction4_S106_L001.assembled.fastq	26242	2921	103	NA	NA	23218	11.1	0.4	NA	NA	88.5
LW170-Extraction19_S118_L001.assembled.fastq	104920	8974	43	NA	NA	95903	8.6	0.0	NA	NA	91.4
LW171-Extraction6_S130_L001.assembled.fastq	88507	6411	256	NA	NA	81840	7.2	0.3	NA	NA	92.5
LW172-Extraction181_S142_L001.assembled.fastq	141878	11406	144	NA	NA	130328	8.0	0.1	NA	NA	91.9
LW173-Extraction182_S154_L001.assembled.fastq	132396	9345	110	NA	NA	122941	7.1	0.1	NA	NA	92.9
LW174-Extraction183_S166_L001.assembled.fastq	144313	11460	94	NA	NA	132759	7.9	0.1	NA	NA	92.0
LW175-Extraction184_S178_L001.assembled.fastq	147698	10713	102	NA	NA	136883	7.3	0.1	NA	NA	92.7
LW176-Extraction185_S190_L001.assembled.fastq	132943	10831	71	NA	NA	122041	8.1	0.1	NA	NA	91.8
LW177-Extraction186_S107_L001.assembled.fastq	97079	7235	106	NA	NA	89738	7.5	0.1	NA	NA	92.4
LW178-Extraction187_S119_L001.assembled.fastq	120509	8818	61	NA	NA	111630	7.3	0.1	NA	NA	92.6
LW179-Extraction188_S131_L001.assembled.fastq	140919	8219	91	NA	NA	132609	5.8	0.1	NA	NA	94.1
LW180-Extraction189_S143_L001.assembled.fastq	69231	5627	113	NA	NA	63491	8.1	0.2	NA	NA	91.7
LW181-Extraction190_S155_L001.assembled.fastq	120841	7571	193	NA	NA	113077	6.3	0.2	NA	NA	93.6
LW182-Extraction191_S167_L001.assembled.fastq	53548	4166	112	NA	NA	49270	7.8	0.2	NA	NA	92.0
LW183-Extraction192_S179_L001.assembled.fastq	38252	3092	120	NA	NA	35040	8.1	0.3	NA	NA	91.6
LW184-Extraction208_S191_L001.assembled.fastq	21112	2305	24	NA	NA	18783	10.9	0.1	NA	NA	89.0
LW185-Extraction209_S108_L001.assembled.fastq	15817	1085	177	NA	NA	14555	6.9	1.1	NA	NA	92.0
LW186-Extraction210_S120_L001.assembled.fastq	22589	1505	177	NA	NA	20907	6.7	0.8	NA	NA	92.6
