"input" "filtered" "tabled" "nonchim"
"LW1-Extraction117" 157499 128727 127844 126917
"LW10-Extraction126" 145087 116980 115903 115504
"LW100-Extraction101" 84332 66535 66069 66065
"LW101-Extraction102" 91213 69760 69623 69561
"LW102-Extraction105" 49550 38089 37671 37671
"LW103-Extraction106" 63989 50458 50332 50332
"LW104-Extraction108" 57705 44851 44730 44730
"LW105-Extraction116" 71767 56932 56765 56762
"LW106-Extraction103" 24645 18455 18368 18368
"LW107-Extraction104" 91451 73683 73501 73421
"LW108-Extraction107" 81886 64808 64641 64641
"LW109-Extraction109" 153137 117617 116722 112218
"LW110-Extraction127" 101634 78846 78166 77098
"LW111-Extraction128" 43361 33260 33102 33102
"LW112-Extraction129" 87728 65106 64891 64886
"LW113-Extraction130" 44602 35098 34974 34974
"LW114-Extraction131" 14900 11165 11162 11159
"LW115-Extraction112" 28404 18732 18545 18452
"LW118-Extraction136" 10484 6919 6827 6827
"LW119-Extraction137" 6375 3247 3198 3198
"LW120-Extraction139" 48379 36304 35334 34585
"LW122-Extraction141" 6781 4786 4730 4730
"LW123-Extraction142" 25510 17605 17450 17450
"LW125-Extraction133" 19448 14406 14239 14239
"LW126-Extraction151" 11627 6966 6777 6777
"LW127-Extraction152" 7741 4126 4030 4030
"LW128-Extraction153" 23303 13428 13361 13361
"LW129-Extraction154" 6356 4638 4629 4629
"LW132-Extraction149" 46250 33600 33531 33531
"LW133-Extraction147" 12214 3751 3705 3705
"LW151-Extraction172" 24438 17696 17495 17312
"LW154-Extraction176" 115504 90191 89160 88909
"LW155-Extraction178" 204817 172227 170886 168331
"LW156-Extraction180" 173134 139791 138105 137461
"LW157-Extraction175" 136400 108354 107288 106991
"LW158-Extraction177" 263567 220547 219958 219877
"LW159-Extraction179" 224744 189124 188583 187721
"LW160-Extraction132" 90257 67450 67306 67291
"LW161-Extraction110" 43903 34217 34117 34117
"LW162-Extraction111" 55249 42003 41911 41911
"LW163-Extraction138" 6164 4377 4347 4347
"LW165-Extraction155" 14152 7397 7330 7330
"LW166-Extraction1" 66290 47987 47593 47514
"LW167-Extraction2" 46300 34004 33503 33341
"LW168-Extraction3" 34601 21042 20944 20871
"LW169-Extraction4" 29810 19805 19690 19690
"LW170-Extraction19" 106085 80153 77629 77006
"LW171-Extraction6" 90165 71164 70788 70661
"LW172-Extraction181" 144032 109752 108855 108196
"LW173-Extraction182" 134847 104623 104077 103940
"LW174-Extraction183" 146165 112467 111976 111772
"LW175-Extraction184" 149375 117596 116878 116410
"LW176-Extraction185" 136273 103944 103356 103189
"LW177-Extraction186" 98686 78313 77979 77979
"LW178-Extraction187" 122034 97527 96716 96706
"LW179-Extraction188" 142925 117571 117043 116809
"LW180-Extraction189" 71265 53338 53131 53012
"LW181-Extraction190" 123360 100110 99510 99351
"LW182-Extraction191" 55562 42845 42702 42702
"LW183-Extraction192" 39737 28830 28524 28521
"LW184-Extraction208" 21692 15994 15895 15895
"LW185-Extraction209" 16412 12275 12247 12247
"LW186-Extraction210" 23496 17462 17378 17066
"LW187-Extraction211" 54697 43137 43039 43039
"LW188-Extraction212" 40289 30401 30323 30323
"LW189-Extraction213" 17782 13587 13516 13516
"LW190-Extraction17" 123626 93890 90900 90409
"LW191-Extraction18" 127706 98438 95669 95076
"LW2-Extraction118" 143680 110986 109416 108377
"LW21-Extraction53" 29419 21386 21315 21315
"LW22-Extraction54" 102404 81342 81085 80941
"LW23-Extraction55" 14679 10709 10699 10687
"LW24-Extraction56" 105243 84536 84160 84122
"LW25-Extraction57" 106047 83711 83475 83378
"LW26-Extraction58" 114009 89605 89355 89352
"LW28-Extraction65" 64857 50979 50869 50869
"LW29-Extraction66" 86633 53093 52653 51951
"LW3-Extraction119" 176235 137306 135708 133405
"LW30-Extraction67" 139940 109107 108646 107444
"LW31-Extraction73" 10422 7583 7549 7549
"LW32-Extraction74" 11590 8131 8036 8036
"LW33-Extraction173" 29022 16578 16418 16171
"LW34-Extraction71" 32023 11296 11266 11266
"LW35-Extraction70" 30571 23859 23840 23827
"LW36-Extraction72" 15414 10167 10084 10084
"LW37-Extraction20" 24506 9003 8967 8967
"LW4-Extraction120" 145637 114331 113517 113208
"LW40-Extraction60" 15734 8697 8665 8632
"LW41-Extraction61" 10546 7330 7241 7241
"LW42-Extraction62" 8565 4577 4539 4539
"LW43-Extraction63" 13680 9041 8950 8950
"LW44-Extraction64" 14469 10243 10188 10188
"LW47-Extraction79" 14053 10226 10143 10143
"LW48-Extraction80" 10825 6420 6396 6396
"LW5-Extraction121" 129533 102655 101737 101319
"LW50-Extraction84" 11060 5881 5823 5755
"LW51-Extraction75" 13257 9413 9400 9398
"LW52-Extraction77" 6665 4453 4349 4349
"LW54-Extraction81" 7157 3849 3834 3780
"LW56-Extraction86" 27175 13984 13884 13884
"LW57-Extraction156" 66276 49597 49349 49347
"LW58-Extraction157" 61388 47052 46847 46847
"LW59-Extraction158" 120811 96273 95736 94788
"LW6-Extraction122" 105388 78260 76253 75425
"LW60-Extraction159" 104980 81137 80134 79756
"LW61-Extraction160" 74791 57193 56587 56418
"LW62-Extraction161" 76262 58281 57538 57398
"LW63-Extraction162" 75780 58764 58132 58097
"LW64-Extraction163" 51613 38082 37609 37591
"LW65-Extraction164" 12852 9025 8827 8827
"LW66-Extraction165" 17179 12272 12141 12141
"LW67-Extraction166" 10781 7963 7792 7765
"LW68-Extraction167" 18326 12917 12818 12818
"LW69-Extraction22" 9121 6745 6720 6720
"LW7-Extraction123" 136634 110579 110092 109674
"LW70-Extraction25" 10352 5912 5818 5780
"LW71-Extraction26" 7461 5478 5388 5388
"LW72-Extraction99" 22392 1318 1289 1264
"LW73-Extraction100" 155618 121605 121062 119398
"LW74-Extraction113" 11000 7679 7394 7394
"LW75-Extraction114" 153187 120484 119131 109727
"LW76-Extraction115" 205586 160055 159834 159344
"LW77-Extraction87" 206812 161449 159855 147748
"LW78-Extraction88" 211803 167279 166535 163221
"LW79-Extraction89" 215816 170387 167694 153983
"LW8-Extraction124" 119927 90582 90383 90353
"LW80-Extraction90" 178945 134251 132050 118712
"LW81-Extraction91" 156195 124006 122422 112090
"LW82-Extraction92" 9928 5223 5208 5178
"LW83-Extraction93" 159910 126642 126571 126568
"LW84-Extraction94" 26323 15953 15902 15902
"LW85-Extraction95" 11777 2975 2926 2924
"LW87-Extraction97" 9270 2857 2727 2727
"LW88-Extraction98" 8992 6254 6146 6146
"LW9-Extraction125" 100637 77609 76813 76369
