"input" "filtered" "tabled" "nonchim"
"LW1-Extraction117" 157499 156882 153597 152562
"LW10-Extraction126" 145087 144558 141043 140565
"LW100-Extraction101" 84332 84280 82601 82597
"LW101-Extraction102" 91213 91022 89447 89361
"LW102-Extraction105" 49550 49382 47379 47379
"LW103-Extraction106" 63989 63679 62660 62660
"LW104-Extraction108" 57705 56934 55850 55850
"LW105-Extraction116" 71767 71077 69810 69807
"LW106-Extraction103" 24645 23886 23299 23299
"LW107-Extraction104" 91451 91230 90073 89970
"LW108-Extraction107" 81886 81636 80409 80409
"LW109-Extraction109" 153137 152854 150714 144614
"LW110-Extraction127" 101634 101518 98743 97439
"LW111-Extraction128" 43361 43213 42068 42068
"LW112-Extraction129" 87728 87461 85786 85781
"LW113-Extraction130" 44602 44016 43299 43299
"LW114-Extraction131" 14900 14706 14430 14427
"LW115-Extraction112" 28404 24694 23969 23858
"LW118-Extraction136" 10484 9321 8607 8607
"LW119-Extraction137" 6375 4620 4402 4402
"LW120-Extraction139" 48379 48170 45429 44717
"LW122-Extraction141" 6781 6416 6215 6215
"LW123-Extraction142" 25510 23204 22532 22532
"LW125-Extraction133" 19448 19108 18590 18590
"LW126-Extraction151" 11627 9556 8982 8982
"LW127-Extraction152" 7741 5720 5474 5474
"LW128-Extraction153" 23303 18659 18050 18050
"LW129-Extraction154" 6356 6097 5871 5871
"LW132-Extraction149" 46250 43615 42847 42847
"LW133-Extraction147" 12214 5627 5428 5428
"LW151-Extraction172" 24438 23362 22485 22202
"LW154-Extraction176" 115504 114433 110326 109970
"LW155-Extraction178" 204817 204237 200924 198075
"LW156-Extraction180" 173134 172382 167530 166754
"LW157-Extraction175" 136400 134318 130252 129863
"LW158-Extraction177" 263567 262816 261399 261323
"LW159-Extraction179" 224744 224196 222430 221429
"LW160-Extraction132" 90257 86488 84872 84856
"LW161-Extraction110" 43903 43331 42507 42507
"LW162-Extraction111" 55249 54107 53008 53008
"LW163-Extraction138" 6164 5782 5544 5544
"LW165-Extraction155" 14152 10311 9950 9950
"LW166-Extraction1" 66290 64842 62078 61974
"LW167-Extraction2" 46300 45393 43594 43363
"LW168-Extraction3" 34601 28716 27764 27672
"LW169-Extraction4" 29810 26918 25551 25551
"LW170-Extraction19" 106085 105792 98848 98016
"LW171-Extraction6" 90165 89052 87119 86984
"LW172-Extraction181" 144032 143138 138061 137333
"LW173-Extraction182" 134847 133413 130061 129825
"LW174-Extraction183" 146165 145495 141669 141411
"LW175-Extraction184" 149375 148662 145277 144777
"LW176-Extraction185" 136273 134315 130336 130093
"LW177-Extraction186" 98686 97924 95571 95570
"LW178-Extraction187" 122034 121417 118415 118399
"LW179-Extraction188" 142925 141863 139865 139643
"LW180-Extraction189" 71265 70027 68011 67859
"LW181-Extraction190" 123360 121640 119188 119007
"LW182-Extraction191" 55562 54186 52892 52892
"LW183-Extraction192" 39737 38563 37505 37502
"LW184-Extraction208" 21692 21512 20241 20241
"LW185-Extraction209" 16412 15865 15600 15600
"LW186-Extraction210" 23496 22688 22079 21668
"LW187-Extraction211" 54697 54208 53516 53516
"LW188-Extraction212" 40289 40103 39407 39407
"LW189-Extraction213" 17782 17636 17167 17167
"LW190-Extraction17" 123626 123416 115533 114857
"LW191-Extraction18" 127706 127551 120629 119968
"LW2-Extraction118" 143680 143138 137151 135852
"LW21-Extraction53" 29419 27579 27118 27118
"LW22-Extraction54" 102404 102345 100688 100488
"LW23-Extraction55" 14679 13808 13424 13408
"LW24-Extraction56" 105243 105045 103335 103286
"LW25-Extraction57" 106047 105742 103635 103523
"LW26-Extraction58" 114009 113778 111718 111713
"LW28-Extraction65" 64857 64780 63634 63634
"LW29-Extraction66" 86633 86475 81411 80289
"LW3-Extraction119" 176235 175233 168960 166168
"LW30-Extraction67" 139940 139866 136947 135494
"LW31-Extraction73" 10422 10031 9733 9733
"LW32-Extraction74" 11590 10918 10360 10360
"LW33-Extraction173" 29022 22096 21244 21029
"LW34-Extraction71" 32023 16616 16180 16180
"LW35-Extraction70" 30571 30317 30087 30073
"LW36-Extraction72" 15414 13413 13020 13020
"LW37-Extraction20" 24506 12972 11281 11281
"LW4-Extraction120" 145637 144708 140296 140011
"LW40-Extraction60" 15734 11753 11459 11424
"LW41-Extraction61" 10546 9627 9326 9326
"LW42-Extraction62" 8565 6458 6281 6281
"LW43-Extraction63" 13680 11789 11444 11444
"LW44-Extraction64" 14469 13615 13168 13168
"LW47-Extraction79" 14053 13508 13064 13064
"LW48-Extraction80" 10825 8641 8405 8405
"LW5-Extraction121" 129533 128383 124798 124386
"LW50-Extraction84" 11060 8285 7872 7872
"LW51-Extraction75" 13257 12404 12136 12136
"LW52-Extraction77" 6665 6037 5731 5730
"LW54-Extraction81" 7157 5522 5214 5144
"LW56-Extraction86" 27175 19629 18759 18759
"LW57-Extraction156" 66276 64830 62982 62979
"LW58-Extraction157" 61388 60628 59162 59162
"LW59-Extraction158" 120811 120496 118112 117037
"LW6-Extraction122" 105388 105110 98643 97582
"LW60-Extraction159" 104980 104578 100261 99772
"LW61-Extraction160" 74791 74347 72212 72011
"LW62-Extraction161" 76262 76041 72836 72665
"LW63-Extraction162" 75780 75322 72597 72556
"LW64-Extraction163" 51613 50663 48452 48429
"LW65-Extraction164" 12852 12106 11557 11557
"LW66-Extraction165" 17179 16437 15857 15857
"LW67-Extraction166" 10781 10533 10141 10113
"LW68-Extraction167" 18326 17220 16706 16706
"LW69-Extraction22" 9121 8858 8528 8528
"LW7-Extraction123" 136634 136165 133523 133150
"LW70-Extraction25" 10352 8160 7739 7694
"LW71-Extraction26" 7461 7220 6938 6938
"LW72-Extraction99" 22392 3968 3785 3752
"LW73-Extraction100" 155618 155404 149816 148177
"LW74-Extraction113" 11000 10924 10149 10149
"LW75-Extraction114" 153187 153086 143795 132856
"LW76-Extraction115" 205586 205100 192590 192067
"LW77-Extraction87" 206812 206491 201320 185558
"LW78-Extraction88" 211803 211708 207583 203787
"LW79-Extraction89" 215816 215711 208363 191375
"LW8-Extraction124" 119927 112697 110561 110522
"LW80-Extraction90" 178945 178814 168422 151573
"LW81-Extraction91" 156195 156119 151040 138414
"LW82-Extraction92" 9928 7389 7069 7025
"LW83-Extraction93" 159910 159740 153534 153533
"LW84-Extraction94" 26323 21737 21455 21455
"LW85-Extraction95" 11777 4872 3782 3780
"LW87-Extraction97" 9270 4494 4116 4116
"LW88-Extraction98" 8992 8503 8038 8038
"LW9-Extraction125" 100637 99095 95392 94856
