"input" "filtered" "tabled" "nonchim"
"LW11-29" 114465 34627 33627 31907
"LW116-134" 247729 5925 5722 5619
"LW117-135" 211143 26238 25061 20613
"LW119-137" 140603 27991 26515 21890
"LW12-30" 77742 61029 60090 53215
"LW121-140" 199149 369 303 303
"LW124-143" 210916 12156 11843 11249
"LW127-152" 177589 1123 957 957
"LW129-154" 142695 61530 58474 45048
"LW13-31" 158959 132772 108125 62498
"LW130-145" 207064 455 314 314
"LW131-146" 197487 265 188 188
"LW134-148" 198310 5810 5513 5496
"LW135-150" 132021 17361 16853 16552
"LW136-49" 74326 61659 59849 54288
"LW137-50" 113466 95998 91996 68207
"LW138-51" 69930 57846 55177 47129
"LW139-52" 88308 76051 74263 61901
"LW14-32" 166813 65808 61825 49802
"LW140-85" 32358 26249 26133 26133
"LW141-39" 104450 86474 77060 43972
"LW142-40" 101132 84194 72276 54620
"LW143-41" 100014 58418 55799 42316
"LW144-42" 74739 63377 60397 48922
"LW145-43" 75870 64546 60912 47326
"LW146-44" 65917 49203 48096 44341
"LW147-45" 76067 62630 60064 48132
"LW148-46" 79242 55274 52776 45156
"LW149-47" 120346 101852 93290 61525
"LW15-33" 63770 53460 51432 45646
"LW150-48" 67701 55886 55417 54434
"LW152-169" 96107 80089 76681 59828
"LW153-170" 63555 51327 48885 42665
"LW16-34" 70701 59038 57614 49924
"LW163-138" 144914 14140 13414 12230
"LW164-144" 143185 22357 20810 19542
"LW17-35" 83544 66036 62717 51035
"LW18-36" 76225 63731 61377 54364
"LW19-37" 155581 66917 63465 48041
"LW20-38" 73855 36833 36106 35079
"LW27-69" 212006 41023 40027 37319
"LW38-214" 136347 70918 65144 42482
"LW39-59" 159121 53512 49232 37936
"LW45-68" 134143 50254 46683 38822
"LW46-76" 157240 21378 20441 16778
"LW49-83" 127514 43870 41678 31597
"LW52-77" 219175 32792 30997 27780
"LW53-78" 245651 13861 13362 13141
"LW54-81" 207543 26707 25024 20748
"LW55-82" 190139 38215 35799 28043
"LW86-96" 266845 332 247 247
"LW87-97" 199107 289 185 185
"LW89-27" 93623 77051 68958 52657
"LW90-28" 87138 69239 65322 49215
"LW91-21" 122864 104557 87724 58372
"LW92-9" 113734 91372 84275 58578
"LW93-10" 143282 40631 39468 36586
"LW94-11" 76443 64723 63707 61253
"LW95-12" 92799 78432 74595 62207
"LW97-13" 81885 61372 58159 47161
"LW98-14" 10475 6388 6275 6261
"LW99-15" 68924 57430 54363 47753
