"input" "filtered" "tabled" "nonchim"
"LW11-29" 114465 114436 102474 101662
"LW116-134" 247729 247652 241115 239535
"LW117-135" 211143 210947 197343 183934
"LW119-137" 140603 140507 125326 121477
"LW12-30" 77742 77716 58672 55905
"LW121-140" 199149 198926 196037 194353
"LW124-143" 210916 210750 203882 201762
"LW127-152" 177589 177486 175094 161489
"LW129-154" 142695 142516 126061 113072
"LW13-31" 158959 158941 82689 61594
"LW130-145" 207064 206554 205062 205054
"LW131-146" 197487 197382 196610 196610
"LW134-148" 198310 171012 167739 167525
"LW135-150" 132021 119210 114370 113514
"LW136-49" 74326 74297 57130 52160
"LW137-50" 113466 113434 77220 60557
"LW138-51" 69930 69899 51555 46505
"LW139-52" 88308 88211 73945 66709
"LW14-32" 166813 166777 135238 128891
"LW140-85" 32358 32286 25985 25965
"LW141-39" 104450 104432 61730 40482
"LW142-40" 101132 101101 66974 57939
"LW143-41" 100014 99992 80504 70719
"LW144-42" 74739 74727 51687 43704
"LW145-43" 75870 75853 51857 42859
"LW146-44" 65917 65902 54862 52242
"LW147-45" 76067 76007 57428 48062
"LW148-46" 79242 79192 60812 56161
"LW149-47" 120346 120266 80191 58239
"LW15-33" 63770 63762 43839 41262
"LW150-48" 67701 67632 44859 44313
"LW152-169" 96107 96033 74406 65530
"LW153-170" 63555 63493 35448 32637
"LW16-34" 70701 70691 60264 56169
"LW163-138" 144914 144597 139885 138389
"LW164-144" 143185 143025 133690 67453
"LW17-35" 83544 83438 61163 52930
"LW18-36" 76225 76178 35340 32638
"LW19-37" 155581 155524 131188 120341
"LW20-38" 73855 73821 60582 60439
"LW27-69" 212006 211879 198747 196754
"LW38-214" 136347 136299 105025 73083
"LW39-59" 159121 159070 133671 122819
"LW45-68" 134143 134110 113253 108675
"LW46-76" 157240 156929 147552 144801
"LW49-83" 127514 127250 110395 104229
"LW52-77" 219175 218908 204033 200263
"LW53-78" 245651 245432 236703 236552
"LW54-81" 207543 207224 194746 192880
"LW55-82" 190139 190008 172685 166373
"LW86-96" 266845 264030 262978 262978
"LW87-97" 199107 196407 195215 195215
"LW89-27" 93623 93531 57824 51244
"LW90-28" 87138 87055 57892 45983
"LW91-21" 122864 122849 72236 55282
"LW92-9" 113734 113716 76054 60568
"LW93-10" 143282 143240 130974 129920
"LW94-11" 76443 76425 55879 54706
"LW95-12" 92799 92788 69974 62596
"LW97-13" 81885 81868 66784 61323
"LW98-14" 10475 10423 8880 8880
"LW99-15" 68924 68889 41517 38999
