"input" "filtered" "tabled" "nonchim"
"LW11-29" 114465 41903 39776 37686
"LW116-134" 247729 10021 9315 9236
"LW117-135" 211143 33348 31140 26215
"LW119-137" 140603 34014 31566 26517
"LW12-30" 77742 72042 69480 61867
"LW121-140" 199149 3319 3007 3007
"LW124-143" 210916 17404 16341 15679
"LW127-152" 177589 3684 1066 1066
"LW129-154" 142695 72381 67588 52659
"LW13-31" 158959 154857 122135 71346
"LW130-145" 207064 3438 366 366
"LW131-146" 197487 2994 2711 2711
"LW134-148" 198310 8989 6334 6315
"LW135-150" 132021 22578 21628 21227
"LW136-49" 74326 72932 69538 63297
"LW137-50" 113466 112459 105106 78748
"LW138-51" 69930 69222 64652 55518
"LW139-52" 88308 87754 84497 72861
"LW14-32" 166813 78467 71313 57841
"LW140-85" 32358 31608 30792 30792
"LW141-39" 104450 100600 86739 50537
"LW142-40" 101132 100285 83416 63228
"LW143-41" 100014 67812 63782 48747
"LW144-42" 74739 74162 69077 56197
"LW145-43" 75870 75324 69387 54545
"LW146-44" 65917 58092 55728 51599
"LW147-45" 76067 72662 68111 54848
"LW148-46" 79242 64947 60057 52201
"LW149-47" 120346 118712 105812 70496
"LW15-33" 63770 63178 58963 52484
"LW150-48" 67701 65558 64353 63269
"LW152-169" 96107 95053 89725 70732
"LW153-170" 63555 61237 56564 49610
"LW16-34" 70701 69661 66694 59683
"LW163-138" 144914 19234 15468 14105
"LW164-144" 143185 28541 26083 24583
"LW17-35" 83544 77595 72032 59009
"LW18-36" 76225 75654 71454 63341
"LW19-37" 155581 78544 72775 55782
"LW20-38" 73855 44523 42867 41673
"LW27-69" 212006 51243 49299 45928
"LW38-214" 136347 83998 74815 49625
"LW39-59" 159121 64099 56285 43899
"LW45-68" 134143 60550 54837 46213
"LW46-76" 157240 26768 23538 19576
"LW49-83" 127514 57381 53087 41201
"LW52-77" 219175 41391 38276 34737
"LW53-78" 245651 19013 15678 15431
"LW54-81" 207543 34404 31575 26896
"LW55-82" 190139 47110 43107 34339
"LW86-96" 266845 5069 4685 4685
"LW87-97" 199107 3058 261 261
"LW89-27" 93623 92873 80674 62062
"LW90-28" 87138 80683 74315 56884
"LW91-21" 122864 122350 100116 67132
"LW92-9" 113734 110047 97855 69154
"LW93-10" 143282 48965 46713 43564
"LW94-11" 76443 75682 73197 70551
"LW95-12" 92799 92262 86175 72336
"LW97-13" 81885 73199 67527 55498
"LW98-14" 10475 7907 7423 7418
"LW99-15" 68924 68616 63115 55870
